car_brand,car_tier,car_segment,damage_location,car_age,damage_type,damage_ratio,internal_damage_flag,car_model_val,repair_cost
Hyundai,Economy,Hatchback,side,7,glass_damage,0.109,0,2.84,5200
Kia,Mid,SUV,side,3,scratch,0.119,0,12.96,4200
BMW,Luxury,Sedan,front,3,dent,0.151,1,27.94,62800
Hyundai,Economy,SUV,side,4,lamp_broken,0.118,0,7.46,7300
Audi,Luxury,SUV,front,2,scratch,0.148,0,44.06,18600
Volkswagen,Mid,SUV,rear,8,scratch,0.151,0,6.61,3700
Honda,Mid,Sedan,rear,3,dent,0.131,0,8.79,7700
Tata,Economy,SUV,front,13,damaged_tire,0.158,0,1.82,4400
MG,Mid,Hatchback,rear,10,dent,0.16,0,2.6,8100
Maruti Suzuki,Economy,SUV,front,4,dent,0.086,0,7.73,5400
Renault,Economy,Hatchback,rear,5,dent,0.176,0,3.62,5100
MG,Mid,Sedan,front,1,dent,0.229,0,10.9,14600
Volkswagen,Mid,Sedan,rear,2,lamp_broken,0.299,0,10.24,21500
Nissan,Economy,Sedan,side,2,glass_damage,0.12,0,6.8,7400
Volkswagen,Mid,Sedan,front,3,glass_damage,0.113,0,8.94,15000
Skoda,Mid,SUV,front,5,scratch,0.245,0,10.64,7300
Nissan,Economy,Hatchback,front,7,scratch,0.099,0,2.83,1900
Nissan,Economy,Hatchback,side,3,damaged_tire,0.015,0,4.35,2700
Renault,Economy,Hatchback,front,3,lamp_broken,0.15,0,4.37,7100
Tata,Economy,SUV,front,7,glass_damage,0.183,0,5.18,9400
Tata,Economy,Sedan,front,1,damaged_tire,0.09,0,7.64,5100
Toyota,Mid,SUV,side,5,dent,0.112,0,9.9,10600
Skoda,Mid,Hatchback,side,7,lamp_broken,0.081,0,4.37,9400
Renault,Economy,Sedan,rear,4,dent,0.148,0,5.81,5200
Hyundai,Economy,Hatchback,rear,5,lamp_broken,0.01,0,3.42,2100
Renault,Economy,Hatchback,rear,4,glass_damage,0.21,0,3.78,6700
Renault,Economy,Sedan,front,4,scratch,0.102,0,6.05,2500
BMW,Luxury,SUV,side,2,glass_damage,0.158,0,42.71,56700
BMW,Luxury,SUV,side,4,dent,0.066,0,36.76,20200
Skoda,Mid,Hatchback,rear,6,damaged_tire,0.062,0,4.73,4600
Maruti Suzuki,Economy,Hatchback,front,1,dent,0.152,0,5.34,6500
Tata,Economy,Sedan,side,3,damaged_tire,0.056,0,6.63,4000
MG,Mid,SUV,front,11,dent,0.047,0,3.48,6300
Tata,Economy,Hatchback,rear,8,dent,0.106,0,2.34,3200
Maruti Suzuki,Economy,Hatchback,front,4,scratch,0.024,0,3.83,1400
Honda,Mid,SUV,side,3,scratch,0.17,0,13.32,5100
Toyota,Mid,SUV,front,1,scratch,0.111,0,14.99,5200
Maruti Suzuki,Economy,Hatchback,front,4,dent,0.063,0,3.83,3600
Volkswagen,Mid,Hatchback,side,11,glass_damage,0.118,0,1.85,7800
Maruti Suzuki,Economy,Hatchback,rear,3,scratch,0.083,0,4.16,1500
Honda,Mid,Sedan,side,13,dent,0.133,0,2.18,7000
Hyundai,Economy,Sedan,rear,2,glass_damage,0.103,0,7.15,6800
Maruti Suzuki,Economy,Hatchback,front,11,dent,0.018,0,1.5,1800
Nissan,Economy,Hatchback,side,4,dent,0.122,0,4.28,4600
Volkswagen,Mid,SUV,front,4,damaged_tire,0.066,0,11.63,8000
Skoda,Mid,SUV,front,3,dent,0.174,0,13.11,16600
Tata,Economy,Hatchback,side,2,damaged_tire,0.193,0,4.72,5000
Nissan,Economy,SUV,rear,9,damaged_tire,0.114,0,3.64,4600
Tata,Economy,SUV,front,5,dent,0.201,0,7.38,8800
Jaguar,Luxury,SUV,side,7,lamp_broken,0.133,0,26.95,39000
MG,Mid,SUV,rear,9,scratch,0.143,0,5.76,3500
Renault,Economy,Sedan,rear,8,lamp_broken,0.14,0,3.58,5200
Tata,Economy,Hatchback,front,4,dent,0.082,0,4.08,4400
Kia,Mid,Hatchback,front,5,scratch,0.102,0,5.42,3500
Renault,Economy,Hatchback,side,1,glass_damage,0.2,0,5.37,7300
Honda,Mid,Sedan,side,5,glass_damage,0.091,0,7.79,10500
Renault,Economy,Sedan,rear,3,scratch,0.16,0,6.68,2300
Hyundai,Economy,Sedan,front,3,lamp_broken,0.15,0,5.55,7900
Kia,Mid,Hatchback,rear,5,scratch,0.176,0,5.48,3500
Renault,Economy,SUV,front,5,dent,0.133,0,6.35,7900
Volvo,Luxury,Sedan,rear,4,glass_damage,0.181,0,24.67,48000
Maruti Suzuki,Economy,Sedan,side,1,scratch,0.088,0,7.72,1900
Maruti Suzuki,Economy,Hatchback,front,4,scratch,0.01,0,3.96,1300
Maruti Suzuki,Economy,Sedan,rear,6,glass_damage,0.138,0,4.66,6100
Renault,Economy,Hatchback,rear,7,scratch,0.185,0,2.78,2000
Hyundai,Economy,Hatchback,side,4,damaged_tire,0.111,0,3.71,3700
Maruti Suzuki,Economy,Sedan,rear,6,lamp_broken,0.146,0,4.84,5400
Mercedes,Luxury,SUV,front,1,scratch,0.031,0,42.76,9200
Volkswagen,Mid,Hatchback,side,16,scratch,0.022,0,1.5,1300
Tata,Economy,SUV,side,6,scratch,0.025,0,5.86,1400
Nissan,Economy,Sedan,side,5,damaged_tire,0.162,0,4.88,5300
Renault,Economy,Sedan,rear,10,glass_damage,0.035,0,2.34,4500
Tata,Economy,Hatchback,front,3,glass_damage,0.085,0,4.37,6900
Kia,Mid,Sedan,front,2,dent,0.168,1,9.83,30200
Volvo,Luxury,SUV,rear,7,dent,0.047,0,27.3,14200
Tata,Economy,Hatchback,front,8,dent,0.244,0,2.44,7100
Honda,Mid,SUV,side,2,scratch,0.158,0,14.23,4300
Volvo,Luxury,Sedan,front,7,dent,0.108,0,17.25,21400
Nissan,Economy,SUV,side,6,lamp_broken,0.316,0,6.32,10200
Toyota,Mid,SUV,front,7,damaged_tire,0.04,0,8.26,7100
MG,Mid,SUV,rear,4,glass_damage,0.151,0,11.21,15300
Maruti Suzuki,Economy,SUV,rear,6,lamp_broken,0.291,0,5.69,9100
Volkswagen,Mid,Hatchback,side,5,glass_damage,0.227,0,5.67,14700
Renault,Economy,SUV,front,3,dent,0.043,0,8.14,4800
Volvo,Luxury,Sedan,front,6,glass_damage,0.091,0,21.54,39100
Tata,Economy,Sedan,front,2,scratch,0.195,0,7.05,3400
Kia,Mid,Sedan,front,2,scratch,0.04,0,11.1,2900
Maruti Suzuki,Economy,Hatchback,front,5,dent,0.033,0,3.59,2800
Volkswagen,Mid,SUV,front,4,glass_damage,0.153,0,11.9,18400
Volvo,Luxury,Sedan,side,7,scratch,0.102,0,18.89,7300
Hyundai,Economy,SUV,side,7,dent,0.068,0,4.69,3800
Kia,Mid,Hatchback,rear,2,dent,0.152,0,6.8,8200
Nissan,Economy,Hatchback,rear,3,scratch,0.179,0,4.43,2200
Volvo,Luxury,SUV,rear,8,scratch,0.148,0,21.77,10700
Mercedes,Luxury,SUV,rear,1,lamp_broken,0.232,0,47.75,49300
Volkswagen,Mid,Sedan,front,5,dent,0.025,0,8.36,5800
Maruti Suzuki,Economy,Hatchback,side,4,glass_damage,0.065,0,3.98,4900
Nissan,Economy,Hatchback,side,7,lamp_broken,0.098,0,2.49,4500
Toyota,Mid,SUV,side,3,scratch,0.123,0,11.94,4500
Nissan,Economy,Sedan,front,9,scratch,0.22,0,2.77,3300
Maruti Suzuki,Economy,Hatchback,front,6,dent,0.109,0,3.4,3700
Toyota,Mid,Sedan,front,6,dent,0.233,0,7.05,11700
Maruti Suzuki,Economy,SUV,rear,7,scratch,0.15,0,4.82,2300
MG,Mid,SUV,side,5,lamp_broken,0.278,0,10.29,23900
Nissan,Economy,SUV,front,5,damaged_tire,0.072,0,6.56,5200
Tata,Economy,SUV,side,1,dent,0.194,1,9.21,18700
MG,Mid,Hatchback,rear,10,scratch,0.085,0,2.57,2400
Honda,Mid,SUV,rear,11,scratch,0.153,0,3.77,3800
Mercedes,Luxury,SUV,front,9,glass_damage,0.04,0,17.8,40200
BMW,Luxury,SUV,front,2,scratch,0.257,0,44.84,23700
Nissan,Economy,Hatchback,rear,7,scratch,0.026,0,2.9,900
Maruti Suzuki,Economy,Sedan,front,6,dent,0.024,0,4.57,2700
Tata,Economy,Sedan,front,6,scratch,0.243,0,4.62,2900
Renault,Economy,Hatchback,rear,9,lamp_broken,0.033,0,2.17,2500
Honda,Mid,SUV,rear,9,lamp_broken,0.262,0,6.13,20200
Nissan,Economy,Hatchback,side,7,scratch,0.104,0,2.73,1800
Volkswagen,Mid,SUV,front,5,scratch,0.04,0,10.9,3300
Nissan,Economy,Sedan,rear,6,glass_damage,0.31,0,4.57,7400
MG,Mid,SUV,front,4,dent,0.072,0,11.71,10400
BMW,Luxury,SUV,rear,8,scratch,0.071,0,22.9,7600
Volvo,Luxury,SUV,side,4,lamp_broken,0.081,0,32.89,32600
Nissan,Economy,Hatchback,side,5,damaged_tire,0.218,0,3.39,4600
MG,Mid,Hatchback,side,2,scratch,0.199,0,6.22,4400
MG,Mid,Sedan,rear,6,dent,0.059,0,6.67,5500
Hyundai,Economy,Sedan,rear,3,dent,0.068,0,5.95,3200
Skoda,Mid,SUV,side,9,dent,0.055,0,5.84,7400
Tata,Economy,Sedan,rear,12,scratch,0.054,0,1.53,1000
Toyota,Mid,Sedan,side,2,damaged_tire,0.169,0,10.2,8400
Toyota,Mid,Sedan,side,7,scratch,0.123,0,6.08,2900
Hyundai,Economy,Hatchback,front,2,damaged_tire,0.189,0,4.23,4900
Volkswagen,Mid,SUV,front,3,glass_damage,0.124,0,12.65,19400
Hyundai,Economy,Hatchback,front,4,dent,0.166,0,4.03,5600
Toyota,Mid,Sedan,front,2,glass_damage,0.233,0,9.99,19400
Kia,Mid,SUV,front,4,glass_damage,0.119,0,11.64,19500
Audi,Luxury,SUV,front,3,glass_damage,0.14,0,37.35,56700
Maruti Suzuki,Economy,Hatchback,side,7,dent,0.094,0,2.64,3600
Maruti Suzuki,Economy,Hatchback,side,8,glass_damage,0.105,0,2.28,5100
Kia,Mid,Sedan,front,7,scratch,0.216,0,5.56,5100
Nissan,Economy,Sedan,front,5,dent,0.041,0,5.53,4100
Jaguar,Luxury,SUV,front,8,dent,0.107,0,23.67,25000
Honda,Mid,SUV,front,1,scratch,0.162,0,15.22,6200
Maruti Suzuki,Economy,Hatchback,front,4,glass_damage,0.218,0,3.71,8000
Nissan,Economy,Hatchback,rear,10,scratch,0.097,0,1.69,1400
Hyundai,Economy,SUV,rear,4,glass_damage,0.01,0,7.22,5700
Tata,Economy,Hatchback,rear,5,scratch,0.286,0,3.78,2500
Hyundai,Economy,Hatchback,front,11,dent,0.076,0,1.5,2800
Maruti Suzuki,Economy,Hatchback,rear,5,lamp_broken,0.155,0,3.82,5900
Skoda,Mid,SUV,front,8,glass_damage,0.109,0,7.09,15300
Skoda,Mid,SUV,front,6,dent,0.107,0,9.98,10000
Volkswagen,Mid,SUV,front,3,damaged_tire,0.111,0,13.32,8800
Renault,Economy,Hatchback,front,7,dent,0.245,0,2.69,5900
Toyota,Mid,SUV,front,7,scratch,0.194,0,8.7,5700
Skoda,Mid,Sedan,rear,5,damaged_tire,0.039,0,7.55,5000
MG,Mid,SUV,front,4,scratch,0.221,0,11.3,6300
Toyota,Mid,SUV,front,5,glass_damage,0.118,0,11.22,16800
MG,Mid,Sedan,side,2,lamp_broken,0.049,0,10.59,10700
Honda,Mid,Sedan,front,4,glass_damage,0.115,0,8.52,13500
Nissan,Economy,Hatchback,rear,4,dent,0.139,0,4.21,3800
Skoda,Mid,Sedan,front,3,lamp_broken,0.064,0,10.25,14100
Maruti Suzuki,Economy,Hatchback,front,2,glass_damage,0.157,0,4.5,7700
Tata,Economy,SUV,rear,10,dent,0.119,0,3.22,3800
Hyundai,Economy,Sedan,front,5,damaged_tire,0.282,0,5.48,7400
Maruti Suzuki,Economy,Hatchback,side,3,glass_damage,0.147,0,4.49,6100
Honda,Mid,Hatchback,front,7,glass_damage,0.234,0,4.21,15600
Tata,Economy,Hatchback,front,8,glass_damage,0.133,0,2.49,7300
Hyundai,Economy,Hatchback,front,4,glass_damage,0.064,0,3.47,7200
Hyundai,Economy,Hatchback,rear,6,dent,0.08,0,3.47,3000
MG,Mid,SUV,rear,2,dent,0.08,0,13.06,8600
Volkswagen,Mid,SUV,front,2,scratch,0.109,0,15.12,5200
Hyundai,Economy,Sedan,side,12,lamp_broken,0.236,0,1.59,6700
Hyundai,Economy,Hatchback,side,4,scratch,0.269,0,3.51,2700
Nissan,Economy,Hatchback,side,3,dent,0.091,0,4.13,3500
Renault,Economy,SUV,front,1,dent,0.291,0,9.38,12100
Maruti Suzuki,Economy,Hatchback,rear,1,glass_damage,0.046,0,4.93,5600
BMW,Luxury,SUV,side,10,dent,0.165,0,14.42,24500
Hyundai,Economy,Sedan,side,7,scratch,0.125,0,4.0,2000
Maruti Suzuki,Economy,SUV,front,5,damaged_tire,0.133,0,6.56,6800
Honda,Mid,SUV,side,3,scratch,0.113,0,12.55,4000
Hyundai,Economy,Hatchback,side,3,lamp_broken,0.227,0,4.61,7700
Hyundai,Economy,SUV,rear,7,dent,0.041,0,4.94,3100
Tata,Economy,Hatchback,front,2,scratch,0.088,0,4.17,2200
Renault,Economy,Hatchback,front,13,scratch,0.235,0,1.5,2100
Nissan,Economy,Hatchback,rear,4,scratch,0.135,0,3.8,1800
Toyota,Mid,SUV,rear,4,dent,0.069,0,11.9,7500
Renault,Economy,Sedan,rear,4,glass_damage,0.109,0,5.9,6100
Nissan,Economy,Hatchback,side,7,dent,0.046,0,2.56,2500
Maruti Suzuki,Economy,Hatchback,rear,6,dent,0.189,0,3.41,4000
Tata,Economy,Hatchback,rear,5,dent,0.035,0,3.43,2400
Nissan,Economy,Sedan,side,11,dent,0.045,0,2.01,2200
Maruti Suzuki,Economy,Hatchback,front,7,dent,0.117,0,2.7,4600
Hyundai,Economy,Hatchback,rear,5,lamp_broken,0.184,0,3.6,6100
Tata,Economy,Hatchback,front,15,scratch,0.205,0,1.5,2300
Renault,Economy,Sedan,side,4,glass_damage,0.079,0,5.9,6600
Volkswagen,Mid,Sedan,front,6,lamp_broken,0.052,0,6.96,10800
Maruti Suzuki,Economy,Hatchback,rear,9,damaged_tire,0.226,0,2.03,4000
Skoda,Mid,SUV,front,1,dent,0.162,0,15.45,16100
BMW,Luxury,SUV,side,3,glass_damage,0.058,0,38.92,41500
Skoda,Mid,SUV,side,6,dent,0.149,0,9.45,10600
Tata,Economy,Hatchback,side,16,lamp_broken,0.098,0,1.5,3400
Toyota,Mid,SUV,front,5,glass_damage,0.083,0,10.36,16300
Tata,Economy,Sedan,rear,10,dent,0.128,0,2.46,4200
Maruti Suzuki,Economy,SUV,front,8,glass_damage,0.072,0,4.72,7500
Skoda,Mid,Sedan,front,6,scratch,0.106,0,6.01,3900
Nissan,Economy,Hatchback,side,4,scratch,0.198,0,3.61,2400
Renault,Economy,Hatchback,side,9,scratch,0.279,0,2.01,2500
Nissan,Economy,Hatchback,front,3,scratch,0.14,0,4.38,2100
Tata,Economy,Sedan,front,5,glass_damage,0.13,0,5.7,8000
Mercedes,Luxury,SUV,side,6,scratch,0.155,0,30.19,12500
Tata,Economy,Hatchback,side,10,scratch,0.075,0,1.67,1300
Tata,Economy,Hatchback,side,1,lamp_broken,0.119,0,5.03,5900
Renault,Economy,Sedan,front,3,scratch,0.175,0,6.26,3100
Maruti Suzuki,Economy,Hatchback,side,4,glass_damage,0.209,0,3.64,6500
Hyundai,Economy,Hatchback,rear,7,lamp_broken,0.192,0,2.73,5200
Volvo,Luxury,SUV,front,4,dent,0.057,0,36.48,21700
Toyota,Mid,Sedan,side,10,scratch,0.105,0,3.38,2800
Tata,Economy,Hatchback,side,2,dent,0.069,0,4.41,3900
Hyundai,Economy,Hatchback,front,3,lamp_broken,0.073,0,4.1,5300
Volkswagen,Mid,Sedan,front,3,dent,0.069,0,9.38,8400
BMW,Luxury,SUV,front,12,dent,0.083,0,10.19,20600
Kia,Mid,SUV,front,1,scratch,0.205,0,14.22,6200
BMW,Luxury,SUV,side,4,glass_damage,0.209,0,36.29,64700
Volkswagen,Mid,SUV,front,12,dent,0.037,0,2.97,5900
Tata,Economy,Sedan,front,6,dent,0.194,0,4.4,6500
Renault,Economy,Hatchback,front,9,scratch,0.122,0,2.19,2100
Hyundai,Economy,Sedan,side,6,scratch,0.217,0,4.91,2400
Audi,Luxury,Sedan,side,4,glass_damage,0.019,0,25.92,29600
Volkswagen,Mid,SUV,front,4,glass_damage,0.134,0,11.31,18100
Volkswagen,Mid,SUV,front,6,scratch,0.105,0,9.95,4700
Maruti Suzuki,Economy,Hatchback,rear,12,dent,0.07,0,1.5,2500
Toyota,Mid,Sedan,side,1,damaged_tire,0.242,0,10.98,10200
Tata,Economy,Hatchback,rear,6,damaged_tire,0.196,0,3.08,3700
Kia,Mid,Hatchback,front,5,dent,0.099,0,5.18,7800
Hyundai,Economy,Hatchback,front,8,dent,0.1,0,2.33,4600
Skoda,Mid,Sedan,side,5,dent,0.144,0,7.92,10500
Maruti Suzuki,Economy,Hatchback,front,20,damaged_tire,0.16,0,1.5,4000
Hyundai,Economy,SUV,side,2,glass_damage,0.132,0,8.73,9300
Hyundai,Economy,Hatchback,front,3,glass_damage,0.051,0,4.28,6200
Nissan,Economy,Sedan,front,10,scratch,0.077,0,2.41,1800
Volvo,Luxury,Sedan,rear,11,dent,0.128,0,7.66,15500
Toyota,Mid,SUV,front,4,damaged_tire,0.158,0,11.07,12100
Nissan,Economy,Hatchback,rear,4,scratch,0.105,0,4.29,1700
Skoda,Mid,Sedan,front,9,dent,0.208,0,4.52,13300
Honda,Mid,SUV,rear,12,dent,0.071,0,3.16,6400
Skoda,Mid,Hatchback,rear,4,damaged_tire,0.025,0,5.69,3900
Tata,Economy,Hatchback,front,4,damaged_tire,0.042,0,3.77,3900
Nissan,Economy,Hatchback,front,17,glass_damage,0.063,0,1.5,4200
Audi,Luxury,SUV,rear,3,dent,0.099,0,36.25,22000
Maruti Suzuki,Economy,SUV,rear,7,scratch,0.01,0,4.96,1100
BMW,Luxury,Sedan,side,1,lamp_broken,0.096,0,34.33,35500
Nissan,Economy,Hatchback,front,5,dent,0.122,0,3.65,4800
Kia,Mid,Sedan,front,11,dent,0.068,0,2.91,5800
Hyundai,Economy,Hatchback,front,5,scratch,0.182,0,3.62,3000
Hyundai,Economy,Hatchback,front,4,dent,0.195,0,3.71,5900
Nissan,Economy,Sedan,rear,3,scratch,0.132,0,5.68,2000
Maruti Suzuki,Economy,SUV,front,6,dent,0.094,0,6.24,5500
Kia,Mid,Sedan,front,3,lamp_broken,0.038,0,10.05,10500
